GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,EasyFrame.new WindowAdapter() {...},24,0,0,0,5,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,AutoCompleter,138,0,22,0,37,0,17,0,6,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,NumberPlainDocument,58,0,10,0,13,0,7,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,AutoCompleteComboBox,85,0,4,0,26,0,11,0,9,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,ScrollBasicComboBoxUI.new BasicComboPopup() {...},15,0,0,0,2,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,ScrollBasicComboBoxUI,12,0,0,0,3,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,EasyPanel,29,0,0,0,6,0,1,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.swing.extend,EasyFrame,44,0,0,0,10,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text.zhconvert,ZhConverter,238,0,22,0,57,0,18,0,7,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text.zhconvert,ZhUtils,97,0,14,0,27,0,13,0,6,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.main,MainFrame.ChangePanelListener,55,0,0,0,12,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.main,MainFrame,586,0,0,0,96,0,10,0,10,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.main,MainFrame.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OsConvertPanel.new MouseAdapter() {...},100,0,4,0,21,0,4,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OsConvertPanel.new MouseAdapter() {...},41,0,2,0,11,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertPanel.new ItemListener() {...},23,0,2,0,5,0,3,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertPanel.new MouseAdapter() {...},60,0,6,0,15,0,5,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertPanel.new MouseAdapter() {...},174,0,6,0,33,0,5,0,2,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,OsConvertPanel,168,0,0,0,36,0,1,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.text,EncodeConvertPanel,313,0,4,0,65,0,3,0,1,0
APKToolBoxGUI,edu.jiangxin.apktoolbox.monkey,ExcuteMonkeyRunnable,22,0,0,0,9,0,3,0,3,0
